Astro Luna;febrero 07, 2013;Número;0408;Favorito;1574;Signo;Cancer;Signo Favorito;Geminis
Astro Sol;febrero 07, 2013;Número;5466;Favorito;2710;Signo;Libra;Signo Favorito;Piscis
Bogotá;febrero 07, 2013;Número;0740;Favorito;3576;Serie;114;Plan de premios;Secos
Cafeterito Noche;febrero 07, 2013;Número;9767;Favorito;5492
Cafeterito Tarde;febrero 07, 2013;Número;7198;Favorito;9021
Cash Dia;febrero 07, 2013;Número;936;Favorito;4320
Cash Noche;febrero 07, 2013;Número;280;Favorito;7134
Chontico Día;febrero 07, 2013;Número;1247;Favorito;4281
Chontico Noche;febrero 07, 2013;Número;4511;Favorito;2408
Cuyabrito;febrero 07, 2013;Número;4480;Favorito;2345
Dorado Dia;febrero 07, 2013;Número;7887;Favorito;4063
Dorado Tarde;febrero 07, 2013;Número;7014;Favorito;6210
Paisita 1;febrero 07, 2013;Número;2429;Favorito;4276
Paisita 2;febrero 07, 2013;Número;7892;Favorito;1940
Pijao;febrero 07, 2013;Número;5691;Favorito;9462
Play Four Dia;febrero 07, 2013;Número;2672;Favorito;9651
Play Four Noche;febrero 07, 2013;Número;0955;Favorito;7964
Quindio;febrero 07, 2013;Número;6341;Favorito;8592;Serie;036;Plan de premios;Secos
Astro Luna;febrero 08, 2013;Número;2680;Favorito;1574;Signo;Capricornio;Signo Favorito;Geminis
Astro Sol;febrero 08, 2013;Número;7824;Favorito;2710;Signo;Leo;Signo Favorito;Piscis
Cafeterito Noche;febrero 08, 2013;Número;5411;Favorito;5492
Cafeterito Tarde;febrero 08, 2013;Número;3167;Favorito;9021
Cash Dia;febrero 08, 2013;Número;843;Favorito;9420
Cash Noche;febrero 08, 2013;Número;605;Favorito;7134
Chontico Día;febrero 08, 2013;Número;2747;Favorito;4281
Chontico Noche;febrero 08, 2013;Número;9069;Favorito;2408
Cuyabrito;febrero 08, 2013;Número;7274;Favorito;7235
Dorado Dia;febrero 08, 2013;Número;3394;Favorito;5063
Dorado Tarde;febrero 08, 2013;Número;2457;Favorito;6210
Medellin;febrero 08, 2013;Número;5563;Favorito;1975;Serie;187;Plan de premios;Secos
Paisita 1;febrero 08, 2013;Número;3763;Favorito;4276
Paisita 2;febrero 08, 2013;Número;8241;Favorito;5940
Pijao;febrero 08, 2013;Número;4802;Favorito;0946
Play Four Dia;febrero 08, 2013;Número;5841;Favorito;3965
Play Four Noche;febrero 08, 2013;Número;8588;Favorito;7964
Risaralda;febrero 08, 2013;Número;6498;Favorito;2503;Serie;000;Plan de premios;Secos
Astro Luna;febrero 09, 2013;Número;1737;Favorito;6154;Signo;Acuario;Signo Favorito;Geminis
Astro Sol;febrero 09, 2013;Número;6787;Favorito;3210;Signo;Leo;Signo Favorito;Piscis
Boyaca;febrero 09, 2013;Número;2392;Favorito;1087;Serie;055;Plan de premios;Secos
Cafeterito Noche;febrero 09, 2013;Número;2368;Favorito;5492
Cafeterito Tarde;febrero 09, 2013;Número;2251;Favorito;5902
Cash Dia;febrero 09, 2013;Número;773;Favorito;9420
Cash Noche;febrero 09, 2013;Número;738;Favorito;7134
Cauca;febrero 09, 2013;Número;1094;Favorito;9750;Serie;048;Plan de premios;Secos
Chontico Día;febrero 09, 2013;Número;3647;Favorito;4281
Chontico Noche;febrero 09, 2013;Número;7822;Favorito;6408
Cuyabrito;febrero 09, 2013;Número;9482;Favorito;6735
Dorado Dia;febrero 09, 2013;Número;8513;Favorito;9506
Dorado Noche;febrero 09, 2013;Número;0644;Favorito;2790
Dorado Tarde;febrero 09, 2013;Número;4911;Favorito;5620
Paisa Lotto;febrero 09, 2013;Número;1111;Favorito;4067
Paisita 1;febrero 09, 2013;Número;8551;Favorito;4276
Paisita 2;febrero 09, 2013;Número;2047;Favorito;5940
Pijao;febrero 09, 2013;Número;9963;Favorito;0946
Play Four Dia;febrero 09, 2013;Número;1486;Favorito;0395
Play Four Noche;febrero 09, 2013;Número;9830;Favorito;7964
Astro Luna;febrero 10, 2013;Número;9954;Favorito;9615;Signo;Capricornio;Signo Favorito;Geminis
Cafeterito Noche;febrero 10, 2013;Número;3410;Favorito;5492
Cash Dia;febrero 10, 2013;Número;392;Favorito;1940
Cash Noche;febrero 10, 2013;Número;548;Favorito;7134
Chontico Noche;febrero 10, 2013;Número;8554;Favorito;3608
Cuyabrito;febrero 10, 2013;Número;2404;Favorito;6735
Dorado Noche;febrero 10, 2013;Número;9704;Favorito;2790
Paisita 1;febrero 10, 2013;Número;9081;Favorito;4276
Paisita 2;febrero 10, 2013;Número;3073;Favorito;5940
Pijao;febrero 10, 2013;Número;5616;Favorito;7094
Play Four Dia;febrero 10, 2013;Número;3635;Favorito;4039
Play Four Noche;febrero 10, 2013;Número;7283;Favorito;7964
