2013-01-01;Paisita 1;3536
2013-01-01;Paisita 2;1414
2013-01-01;Cafeterito Noche;3109
2013-01-01;Cash Noche;367
2013-01-01;Play Four Dia;8407
2013-01-01;Chontico Noche;8930
2013-01-01;Dorado Noche;0007
2013-01-01;Cash Dia;223
2013-01-01;Play Four Noche;4914
2013-01-02;Huila;2874;SERIE;028
2013-01-02;Valle;2895;SERIE;016
2013-01-02;Meta;2738;SERIE;089
2013-01-02;Manizales;7734;SERIE;080
2013-01-02;Chontico Millonario;6379
2013-01-02;Dorado Dia;6303
2013-01-02;Paisita 1;6645
2013-01-02;Cafeterito Tarde;2159
2013-01-02;Paisita 2;5781
2013-01-02;Cafeterito Noche;8551
2013-01-02;Cuyabrito;0944
2013-01-02;Cash Noche;391
2013-01-02;Play Four Noche;7802
2013-01-02;Astro Sol;1753;CAP
2013-01-02;Pijao;1204
2013-01-02;Chontico Noche;8204
2013-01-02;Astro Luna;8528;ARI
2013-01-02;Cash Dia;827
2013-01-02;Play Four Dia;0486
2013-01-02;Dorado Tarde;1287
2013-01-03;Quindio;5273;SERIE;010
2013-01-03;Bogotá;8208;SERIE;194
2013-01-03;Chontico Millonario;4986
2013-01-03;Dorado Dia;1956
2013-01-03;Paisita 1;3884
2013-01-03;Cafeterito Tarde;6517
2013-01-03;Paisita 2;3126
2013-01-03;Cafeterito Noche;0407
2013-01-03;Cuyabrito;7869
2013-01-03;Cash Noche;871
2013-01-03;Play Four Noche;4062
2013-01-03;Astro Sol;3787;ACU
2013-01-03;Pijao;2402
2013-01-03;Chontico Noche;6348
2013-01-03;Astro Luna;4213;ARI
2013-01-03;Cash Dia;645
2013-01-03;Play Four Dia;2356
2013-01-03;Dorado Tarde;8130
2013-01-04;Risaralda;1881;SERIE;036
2013-01-04;Medellin;1648;SERIE;020
2013-01-04;Chontico Millonario;8374
2013-01-04;Dorado Dia;6797
2013-01-04;Paisita 1;2886
2013-01-04;Cafeterito Tarde;5405
2013-01-04;Paisita 2;7968
2013-01-04;Cafeterito Noche;8848
2013-01-04;Cuyabrito;5354
2013-01-04;Cash Noche;386
2013-01-04;Play Four Noche;3562
2013-01-04;Astro Sol;7156;SAG
2013-01-04;Pijao;5232
2013-01-04;Chontico Noche;8077
2013-01-04;Astro Luna;7776;SAG
2013-01-04;Cash Dia;139
2013-01-04;Play Four Dia;3280
2013-01-04;Dorado Tarde;7243
2013-01-05;Cauca;0771;SERIE;046
2013-01-05;Boyaca;3814;SERIE;091
2013-01-05;Paisa Lotto;4533
2013-01-05;Dorado Dia;9369
2013-01-05;Dorado Tarde;0697
2013-01-05;Paisita 1;8225
2013-01-05;Cafeterito Tarde;1342
2013-01-05;Paisita 2;2315
2013-01-05;Cafeterito Noche;8146
2013-01-05;Cuyabrito;3214
2013-01-05;Cash Noche;229
2013-01-05;Play Four Noche;8230
2013-01-05;Astro Sol;9305;LIB
2013-01-05;Pijao;0926
2013-01-05;Chontico Noche;0967
2013-01-05;Astro Luna;7878;VIR
2013-01-05;Dorado Noche;8963
2013-01-05;Cash Dia;146
2013-01-05;Play Four Dia;2463
2013-01-05;Chontico Millonario;3325
2013-01-06;Paisita 1;3258
2013-01-06;Paisita 2;6288
2013-01-06;Cafeterito Noche;4445
2013-01-06;Cuyabrito;5604
2013-01-06;Cash Noche;423
2013-01-06;Play Four Dia;5562
2013-01-06;Pijao;4160
2013-01-06;Chontico Noche;5420
2013-01-06;Astro Luna;5785;CAP
2013-01-06;Dorado Noche;0612
2013-01-06;Cash Dia;872
2013-01-06;Play Four Noche;7754
2013-01-07;Paisita 1;9465
2013-01-07;Paisita 2;0776
2013-01-07;Cafeterito Noche;6532
2013-01-07;Cuyabrito;3803
2013-01-07;Cash Noche;117
2013-01-07;Play Four Dia;6985
2013-01-07;Pijao;3967
2013-01-07;Chontico Noche;5589
2013-01-07;Astro Luna;4451;CÁN
2013-01-07;Dorado Noche;2064
2013-01-07;Cash Dia;146
